scorer,,,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev
bodyparts,,,Index_Left,Index_Left,Index_Right,Index_Right,Hand_Left,Hand_Left,Hand_Right,Hand_Right
coords,,,x,y,x,y,x,y,x,y
labeled-data,20220717_210523~2_5,img012.png,735.7651313017835,438.7471169779526,797.6710433927819,443.27681786265987,,,1025.6659879230447,577.6579441089737
labeled-data,20220717_210523~2_5,img046.png,735.7651313017835,438.7471169779526,794.6512428029772,440.257017272855,,,1025.6659879230447,582.1876449936808
labeled-data,20220717_210523~2_5,img097.png,734.2552310068811,446.2966184524646,814.2799466367084,450.8263193371718,,,1039.2550905771664,591.2470467630952
labeled-data,20220717_210523~2_5,img128.png,744.824533071198,455.356020221879,827.86904929083,447.806518747367,,,1054.3540935261904,600.3064485325096
labeled-data,20220717_210523~2_5,img232.png,762.9433366100268,446.2966184524646,836.9284510602444,443.27681786265987,,,1057.373894115995,586.717345878388
labeled-data,20220717_210523~2_5,img261.png,775.0225389692459,453.84611992697666,852.0274540092684,452.33621963207423,,,1069.4530964752144,595.7767476478025
labeled-data,20220717_210523~2_5,img279.png,779.5522398539532,449.31641904226944,855.0472545990732,453.84611992697666,,,1072.472897065019,594.2668473529
labeled-data,20220717_210523~2_5,img310.png,799.1809436876844,446.2966184524646,874.6759584328046,446.2966184524646,,,1101.1610026681647,598.7965482376072
labeled-data,20220717_210523~2_5,img335.png,802.2007442774892,440.257017272855,874.6759584328046,446.2966184524646,,,1099.6511023732623,594.2668473529
labeled-data,20220717_210523~2_5,img399.png,800.6908439825868,447.806518747367,882.2254599073166,447.806518747367,,,1116.2600056171887,600.3064485325096
labeled-data,20220717_210523~2_5,img412.png,800.6908439825868,447.806518747367,883.7353602022189,449.31641904226944,,,1111.7303047324817,589.7371464681928
labeled-data,20220717_210523~2_5,img427.png,814.2799466367084,452.33621963207423,894.3046622665357,452.33621963207423,,,1131.3590085662127,607.8559500070216
labeled-data,20220717_210523~2_5,img460.png,832.3987501755372,452.33621963207423,910.913565510462,455.356020221879,,,1150.987712399944,610.8757505968265
labeled-data,20220717_210523~2_5,img472.png,839.9482516500492,452.33621963207423,916.9531666900717,447.806518747367,,,1146.4580115152366,603.3262491223145
labeled-data,20220717_210523~2_5,img522.png,838.4383513551469,440.257017272855,922.9927678696814,447.806518747367,,,1154.0075129897486,594.2668473529
labeled-data,20220717_210523~2_5,img600.png,847.4977531245612,456.86592051678144,930.5422693441934,452.33621963207423,,,1158.537213874456,600.3064485325096
labeled-data,20220717_210523~2_5,img627.png,868.6363572531949,464.41542199129344,945.6412722932174,459.88572110658623,,,1173.63621682348,604.8361494172168
labeled-data,20220717_210523~2_5,img642.png,876.1858587277069,458.37582081168387,948.6610728830223,456.86592051678144,,,1196.284721247016,606.3460497121192
labeled-data,20220717_210523~2_5,img664.png,880.715559612414,446.2966184524646,953.1907737677294,447.806518747367,,,1178.1659177081874,580.6777446987784
