scorer,,,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev,Priyank Namdev
bodyparts,,,Index_Left,Index_Left,Index_Right,Index_Right,Hand_Left,Hand_Left,Hand_Right,Hand_Right
coords,,,x,y,x,y,x,y,x,y
labeled-data,20220717_210427~2_1,img0006.png,707.0770256986378,245.01181013902544,753.8839348406124,235.95240836961102,773.5126386743435,535.3807358517063,968.2897767167534,330.03429574497966
labeled-data,20220717_210427~2_1,img0082.png,707.0770256986378,240.95017834573798,755.3938351355148,236.42047746103083,779.5522398539532,523.3015334924871,960.7402752422414,333.0540963347845
labeled-data,20220717_210427~2_1,img0140.png,705.5671254037355,240.95017834573798,755.3938351355148,236.42047746103083,775.0225389692459,529.3411346720968,965.2699761269486,337.58379721949166
labeled-data,20220717_210427~2_1,img0159.png,708.5869259935403,243.96997893554283,755.3938351355148,236.42047746103083,775.0225389692459,529.3411346720968,957.7204746524366,331.5441960398821
labeled-data,20220717_210427~2_1,img0189.png,717.6463277629547,243.96997893554283,772.0027383794412,240.95017834573798,775.0225389692459,526.321334082292,980.3689790759726,343.62339839910135
labeled-data,20220717_210427~2_1,img0223.png,732.7453307119787,250.0095801151524,791.6314422131724,246.98977952534756,785.5918410335628,535.3807358517063,1001.5075832046062,354.1927004634181
labeled-data,20220717_210427~2_1,img0289.png,752.37403454571,245.47987923044514,815.7898469316109,239.44027805083556,788.6116416233676,530.8510349669991,1036.2352899873613,352.68280016851577
labeled-data,20220717_210427~2_1,img0367.png,755.3938351355148,245.47987923044514,823.3393484061229,240.95017834573798,785.5918410335628,526.321334082292,,
labeled-data,20220717_210427~2_1,img0411.png,756.9037354304171,243.96997893554283,818.8096475214155,240.95017834573798,790.1215419182699,524.8114337873895,1039.2550905771664,366.27190282263734
labeled-data,20220717_210427~2_1,img0541.png,764.4532369049291,253.02938070495725,832.3987501755372,251.51948041005483,794.6512428029772,533.870835556804,1060.3936947058,372.3115040022469
labeled-data,20220717_210427~2_1,img0587.png,779.5522398539532,250.0095801151524,845.9878528296589,250.0095801151524,805.220544867294,533.870835556804,1073.9827973599213,375.33130459205177
labeled-data,20220717_210427~2_1,img0608.png,787.1017413284652,246.98977952534756,853.5373543041709,245.47987923044514,808.2403454570989,532.3609352619015,1090.591700603848,364.7620025277349
labeled-data,20220717_210427~2_1,img0632.png,791.6314422131724,246.98977952534756,859.5769554837804,243.96997893554283,806.7304451621964,530.8510349669991,1087.571900014043,367.78180311753977
labeled-data,20220717_210427~2_1,img0644.png,794.6512428029772,242.4600786406404,861.0868557786829,239.44027805083556,811.2601460469035,535.3807358517063,1057.373894115995,367.78180311753977
labeled-data,20220717_210427~2_1,img0858.png,805.220544867294,248.49967982024998,871.6561578429997,245.47987923044514,809.7502457520012,533.870835556804,1096.6313017834577,379.8610054767589
labeled-data,20220717_210427~2_1,img0878.png,809.7502457520012,248.49967982024998,879.2056593175117,250.0095801151524,818.8096475214155,539.9104367364135,1092.1016008987503,375.33130459205177
labeled-data,20220717_210427~2_1,img0889.png,814.2799466367084,246.98977952534756,885.2452604971212,250.0095801151524,823.3393484061229,539.9104367364135,1092.1016008987503,376.8412048869542
labeled-data,20220717_210427~2_1,img0927.png,824.8492487010252,248.49967982024998,900.3442634461452,248.49967982024998,826.3591489959275,536.8906361466088,1104.1808032579697,378.3511051818565
labeled-data,20220717_210427~2_1,img1010.png,826.3591489959275,245.47987923044514,907.8937649206574,243.96997893554283,832.3987501755372,536.8906361466088,1101.1610026681647,378.3511051818565
labeled-data,20220717_210427~2_1,img1055.png,824.8492487010252,245.47987923044514,913.9333661002669,243.96997893554283,830.8888498806349,536.8906361466088,1113.240205027384,385.9006066563686
